text_head,label,jev_prediction,jev_confidence,jev_prob_big,luna_prediction,gemini_prediction,category,sender
a new instructor wants to know how they get paid and when they get paid. What should I tell them?,fast,big,0.05,0.52,big,big,lookup,user-2
How many premium videos on the site haven't gotten a single view in 2026 so far? Are there any videos or courses that re,fast,big,0.07,0.54,big,big,data pull,user-4
I'm looking into customer life time tagging for our affiliate program and I'm interested in the effects that would have ,big,fast,0.1,0.45,fast,fast,pricing,user-2
Are there any course launches on Proko since May 2021 that have seen their revenues climb YoY? Chart out projections for,fast,big,0.33,0.67,big,big,data pull,user-2
"I want to learn, but where do I start with the basic studies of being an artist? The exercises will be on the fundamenta",fast,big,0.43,0.72,big,big,lookup,user-1
I want to create a series of learning points for this art course. These contain a short title and a very short descripti,fast,big,0.47,0.73,big,big,summarize,user-3
"Make an html presentation reporting about everything you can do. All the tools you have available to you, all the skills",fast,big,0.52,0.76,big,big,long writing,user-4
i only want you to look through real code on gitlab...,big,fast,0.57,0.22,fast,fast,continuation,user-4
"replying
1. this is the stream key
2. instructor currently can't create a live event here
also i need to add that the fl",big,fast,0.6,0.2,fast,fast,continuation,user-7
i only want you to look through real code on gitlab..,big,fast,0.61,0.19,fast,fast,continuation,user-4
"I want to create a h3 title heading for ""Who This Course is For"" but I want something more creative then that. Can you p",big,fast,0.75,0.13,fast,fast,marketing copy,user-2
same thing,fast,big,0.77,0.88,big,big,continuation,user-2
Can you analyze the activity of these people that buy a product through Proko's affiliate link compared to the average 2,fast,big,0.82,0.91,big,big,data pull,user-2
generate titles for that episode,big,fast,0.83,0.09,fast,fast,marketing copy,user-6
"Course Recommendation Prompt

A student completed Riven Phoenix’s Structure of Man course and says they now have a basic",fast,big,0.84,0.92,big,big,lookup,user-1
same thing here,fast,big,0.86,0.93,big,big,continuation,user-2
Okay if that's the case what are some punchy YouTube titles that play off this sentence: the humble cube is the ultimate,big,fast,0.91,0.04,fast,fast,marketing copy,user-2
give me a polished answer i can add the the FAQ make it happy and beginner friendly sounding but also add a part that sa,fast,big,0.92,0.96,big,big,marketing copy,user-3
"Tell this guy his VAT was refunded with his order: 

Hello.
Sorry to bother you again.
I have 2 questions .

Last week, ",fast,big,0.96,0.98,big,big,small edit,user-1
